Unnamed: 0, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai,cluster
469,1996.0,1.0,Đồng Tháp,CNTT0001,KTTT,0,9.0,D480201,-1.0,-1.0,0.7216494845360826,0.2105263157894737,0.6192468619246861,6.94,7.89,7.59,7.56,0.0,8.04,8.4,0.0,0.5833333333333333,0.36363636363636365,13,15,20,23,23,22,22,139.0,0.0,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,3,3,4,80,58,59,81,69,78,80,0,4
201,1995.0,1.0,Minh Hải,KHMT2013,KHMT,0,8.0,D480101,0.0,23.5,0.6041237113402063,0.0,0.5784518828451883,6.24,5.87,6.94,7.01,0.0,6.4,4.3,0.0,0.3333333333333333,0.36363636363636365,22,0,19,20,25,23,27,142.0,3.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,2,2,2,4,4,4,4,4,4,4,61,57,60,88,70,68,70,0,4
1957,1999.0,1.0,Hồ Chí Minh,ATCL2017,MMT&TT,1,12.0,D480299,0.0,23.0,0.6711340206185568,0.7492260061919505,0.6861924686192468,7.04,7.37,7.39,7.55,9.0,0.0,0.0,0.25,0.0,0.0,20,20,24,18,15,17,11,139.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,5,5,5,5,73,68,78,83,86,74,74,1,5
1312,1998.0,1.0,Bến Tre,HTTT0001,HTTT,1,11.0,D480104,0.0,20.75,0.654639175257732,0.6800825593395253,0.747907949790795,7.29,7.22,6.98,7.74,8.4,0.0,0.0,0.3333333333333333,0.0,0.0,15,15,24,24,24,17,17,154.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,4,4,4,4,4,4,77,73,86,85,68,68,90,0,5
531,1996.0,1.0,Đắk Lắk,KHMT0001,KHMT,0,9.0,D480101,-1.0,-1.0,0.654639175257732,0.781217750257998,0.5836820083682008,6.65,7.62,7.41,8.41,8.3,0.0,0.0,0.25,0.0,0.0,17,24,24,19,24,22,15,145.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,4,4,4,4,4,4,83,94,81,69,72,57,85,0,5
1991,1999.0,1.0,Hồ Chí Minh,ATCL2017,MMT&TT,1,12.0,D480299,0.0,21.75,0.6329896907216495,0.7450980392156863,0.6945606694560669,7.53,7.61,7.56,7.18,6.9,0.0,0.0,0.25,0.0,0.0,20,24,21,16,15,16,14,140.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,5,5,6,6,6,6,78,68,68,83,83,79,72,0,5
233,1995.0,1.0,Sông Bé,KHMT2013,KHMT,0,8.0,D480101,0.0,27.0,0.6072164948453609,0.6976264189886481,0.6506276150627615,7.49,7.9,8.9,8.35,7.0,0.0,0.0,0.25,0.0,0.0,22,19,23,24,16,16,16,146.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,65,92,90,85,88,75,90,1,5
891,1997.0,0.0,Bình Thuận,HTTT2015,HTTT,0,10.0,D480104,-1.0,-1.0,0.8391752577319589,0.716202270381837,0.8556485355648535,7.39,7.75,7.71,8.03,0.0,0.0,9.7,0.0,0.0,0.2727272727272727,17,24,22,17,16,19,17,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,81,84,76,82,90,80,80,1,6
1290,1997.0,1.0,Hồ Chí Minh,MMTT0001,MMT&TT,2,11.0,D480299,0.0,23.25,0.845360824742268,0.8173374613003096,0.8493723849372383,7.29,7.88,8.29,7.82,0.0,0.0,8.7,0.0,0.0,0.2727272727272727,19,21,21,19,18,16,18,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,4,4,4,4,4,4,4,68,80,90,90,81,90,94,2,6
877,1997.0,1.0,Quảng Nam,KTPM0001,CNPM,1,10.0,D480103,-1.0,-1.0,0.8226804123711341,0.8204334365325078,0.910041841004184,6.35,7.48,7.57,8.11,0.0,0.0,4.0,0.0,0.0,0.2727272727272727,19,23,19,17,19,19,17,157.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,2,4,4,4,4,4,4,4,4,4,89,84,74,90,85,85,86,0,6
