, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2,dien_tt,diem_tt,lop12_matinh,lop12_matruong,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhkh1,dtbhkh2,dtbhkh3,stchk1,stchk2,stchk3,stchk4,stchk5,stchk6,stchk7,stchkh1,stchkh2,stchkh3,sotc_tichluy,hoclaihk1,hoclaihk2,hoclaihk3,hoclaihk4,hoclaihk5,hoclaihk6,hoclaihk7,hoclaihkh1,hoclaihkh2,hoclaihkh3,AVHK1,AVHK2,AVHKH1,AVHK3,AVHK4,AVHKH2,AVHK5,AVHK6,AVHKH3,AVHK7,drlhk1,drlhk2,drlhk3,drlhk4,drlhk5,drlhk6,drlhk7, xeploai
32,1995.0,1.0,Tây Ninh,KTMT0001,KTMT,0,8.0,D520214,0.0,26.5,46.0,55.0,5.41,4.68,7.69,7.06,6.73,7.15,7.54,0.0,0.0,7.7,0,0,4,22,19,21,27,16,15,16,150.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3,3,3,3,3,3,78,82,86,80,76,71,64,0
33,1995.0,1.0,Hồ Chí Minh,PMCL2013,CNPM,1,8.0,D480103,0.0,32.5,2.0,65.0,7.93,8.45,8.72,9.26,8.64,9.15,9.13,0.0,0.0,0.0,0,0,0,22,22,23,17,18,15,15,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,100,82,87,87,95,90,82,2
34,1995.0,1.0,Kiên Giang,KHMT2013,KHMT,0,8.0,D480101,0.0,24.5,54.0,16.0,6.86,7.2,8.15,8.12,7.6,8.26,8.5,0.0,0.0,0.0,0,0,0,22,22,23,17,16,20,12,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,93,82,89,83,90,91,64,1
35,1995.0,1.0,Cần Thơ,KTPM2013,CNPM,0,8.0,D480103,0.0,31.0,55.0,12.0,6.27,6.5,6.04,8.04,8.41,6.5,6.86,0.0,0.0,0.0,0,0,0,22,19,23,20,17,17,19,157.0,7.0,3.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,4,4,4,4,4,4,4,4,4,77,81,71,84,62,72,48,0
36,1995.0,1.0,Bình Thuận,HTTT2013,HTTT,0,8.0,D480104,0.0,26.5,47.0,13.0,7.11,7.26,7.57,7.98,7.23,8.33,8.04,0.0,0.0,0.0,0,0,0,22,19,21,24,25,19,14,153.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3,3,4,4,4,4,75,63,94,73,88,69,76,1
37,1995.0,0.0,Lâm Đồng,MMTT0001,MMT&TT,0,8.0,D480102,0.0,27.0,42.0,18.0,8.05,7.21,7.44,7.86,7.3,8.28,6.86,0.0,0.0,0.0,0,0,0,22,19,20,18,17,15,19,152.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,4,4,4,4,4,4,4,100,92,94,78,72,65,67,1
38,1995.0,1.0,Khánh Hoà,KHTN2013,KHMT,3,8.0,D480101,0.0,26.5,41.0,9.0,7.05,7.95,7.88,7.72,8.78,8.2,8.91,0.0,0.0,0.0,0,0,0,22,19,25,18,20,16,11,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,4,4,4,4,4,4,94,80,92,87,98,78,77,2
39,1995.0,1.0,Thanh Hoá,KTMT0001,KTMT,0,8.0,D520214,0.0,24.5,44.0,25.0,4.25,2.31,6.27,5.43,6.76,7.63,7.12,5.21,8.46,6.5,7,7,3,18,18,22,27,20,16,27,155.0,15.0,15.0,4.0,9.0,0.0,0.0,4.0,3.0,0.0,0.0,2,2,2,2,2,2,2,2,2,3,77,82,89,69,95,72,66,0
40,1995.0,1.0,Quảng Ngãi,HTTT0001,HTTT,0,8.0,D480104,0.0,30.0,35.0,20.0,6.64,7.73,8.02,6.54,6.28,7.24,7.26,0.0,0.0,0.0,0,0,0,18,20,24,22,27,19,21,153.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,2,2,3,3,3,4,4,4,4,100,100,100,96,61,79,80,0
41,1995.0,1.0,Hồ Chí Minh,KHMT0001,KHMT,0,8.0,D480101,0.0,26.5,2.0,76.0,5.98,6.77,7.05,7.34,7.65,7.93,7.51,0.0,0.0,0.0,0,0,0,22,15,20,16,13,19,22,144.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,4,4,4,4,4,4,75,86,82,60,39,61,46,0
42,1995.0,1.0,Thừa Thiên Huế,KTMT2013,KTMT,0,8.0,D520214,0.0,28.5,33.0,3.0,6.25,5.84,2.67,5.16,6.31,7.44,7.02,0.0,0.0,7.3,0,0,4,18,19,23,20,21,23,26,147.0,5.0,4.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3,3,3,3,3,3,78,76,65,50,65,60,55,1
